,a,b,c,d
0,0.4609518650131884,0.5564418747505069,0.3674845922902147,0.3041667870198287
1,0.7545147996553225,0.7274361687881268,0.19623467029227637,0.5191949620146851
2,0.20310048327449082,0.5994964953427331,0.6874085520125228,0.4313443577412027
3,0.8988706747882856,0.5844322574018989,0.15671862866960917,0.04659266187976929
4,0.051657398738141236,0.4649921375944115,0.5535323577131488,0.9908640649923784
5,0.040661945980284164,0.029339970253946857,0.32715845764404927,0.630300477377297
6,0.7251567423036587,0.5787197038849909,0.9593386378654337,0.7426126470061991
7,0.9580153220372172,0.1551264131707929,0.8666999790310185,0.9536580771282843
8,0.8285151181466589,0.3697261633103478,0.6848626456417505,0.5557376388604502
9,0.8529410246588488,0.3429756743668456,0.855885284121428,0.886439567165009
